# File: L102.load_segments.csv
# Title: Defines the relative shape of each load segment by grid_region based on FERC hourly data
# Units: %
# Source: preprocessed FERC hourly data
# Column types: ccinn
# ----------
grid_region,segment,hours,generation.fraction,relative.generation
Northwest grid,Dec_night,465,0.052429195,0.626356752
Northwest grid,Feb_day,308,0.035279115,0.636309624
Northwest grid,Feb_night,364,0.038177812,0.582654599
Northwest grid,Jan_day,283,0.033044919,0.648663988
Northwest grid,Jan_night,461,0.050258163,0.605629771
Northwest grid,Jul_day,459,0.063040018,0.762965973
Northwest grid,Jul_night,279,0.032331833,0.643765423
Northwest grid,Jun_day,450,0.056888794,0.702288797
Northwest grid,Jun_night,270,0.028725571,0.591025789
Northwest grid,Mar_day,369,0.041176049,0.619897433
Northwest grid,Mar_night,375,0.037884685,0.561221029
Northwest grid,May_day,461,0.051262604,0.617733658
Northwest grid,May_night,283,0.027495888,0.53973781
Northwest grid,Nov_day,296,0.034841847,0.653899472
Northwest grid,Nov_night,424,0.045705243,0.598827442
Northwest grid,Oct_day,341,0.039734574,0.647315061
Northwest grid,Oct_night,403,0.04109499,0.566481012
Northwest grid,Sep_day,382,0.049521522,0.720165223
Northwest grid,Sep_night,338,0.036713145,0.603401541
Northwest grid,superpeak,10,0.001800108,1
Central Northeast grid,Apr_day,394,0.041378161,0.583899177
Central Northeast grid,Apr_night,326,0.029919849,0.510275481
Central Northeast grid,Aug_day,421,0.059994551,0.79230539
Central Northeast grid,Aug_night,313,0.037038222,0.657913345
Central Northeast grid,Dec_day,279,0.035174784,0.700954989
Central Northeast grid,Dec_night,465,0.055931078,0.668748987
Central Northeast grid,Feb_day,304,0.036921091,0.675248823
Central Northeast grid,Feb_night,368,0.041990013,0.634396949
Central Northeast grid,Jan_day,279,0.034748036,0.692450851
Central Northeast grid,Jan_night,465,0.054778691,0.654970286
Central Northeast grid,Jul_day,465,0.065562739,0.783911491
Central Northeast grid,Jul_night,279,0.032602334,0.649691799
Central Northeast grid,Jun_day,450,0.05788323,0.715159873
Central Northeast grid,Jun_night,270,0.028863533,0.594358702
Central Northeast grid,Mar_day,369,0.040677151,0.612896384
Central Northeast grid,Mar_night,375,0.037654264,0.558271931
Central Northeast grid,May_day,465,0.051691442,0.618057092
Central Northeast grid,May_night,279,0.026420745,0.526506516
Central Northeast grid,Nov_day,286,0.031763596,0.617485157
Central Northeast grid,Nov_night,434,0.044733368,0.57306616
Central Northeast grid,Oct_day,341,0.03654475,0.595845296
Central Northeast grid,Oct_night,403,0.038271865,0.528004323
Central Northeast grid,Sep_day,382,0.044286412,0.644569916
Central Northeast grid,Sep_night,338,0.033371486,0.548936034
Central Northeast grid,superpeak,10,0.00179861,1
Central East grid,Apr_day,390,0.039572283,0.542091614
Central East grid,Apr_night,330,0.028837946,0.46687066
Central East grid,Aug_day,418,0.05940928,0.759318881
Central East grid,Aug_night,325,0.037110186,0.610036707
Central East grid,Dec_day,279,0.03534508,0.676816535
Central East grid,Dec_night,465,0.057020299,0.655122822
Central East grid,Feb_day,308,0.038600042,0.669550363
Central East grid,Feb_night,364,0.043117582,0.632847704
Central East grid,Jan_day,289,0.036636891,0.677277993
Central East grid,Jan_night,455,0.054982977,0.645599301
Central East grid,Jul_day,456,0.06626156,0.776323992
Central East grid,Jul_night,279,0.03254533,0.623204629
Central East grid,Jun_day,450,0.060973703,0.723896129
Central East grid,Jun_night,270,0.029000276,0.573831733
Central East grid,Mar_day,369,0.040024365,0.579487772
Central East grid,Mar_night,375,0.037182454,0.529728049
Central East grid,May_day,457,0.050759551,0.593400304
Central East grid,May_night,287,0.026148716,0.486759751
Central East grid,Nov_day,300,0.032173872,0.572965238
Central East grid,Nov_night,420,0.041872447,0.532629538
Central East grid,Oct_day,341,0.035189235,0.551317323
Central East grid,Oct_night,403,0.036369458,0.482145349
Central East grid,Sep_day,382,0.045866706,0.641475956
Central East grid,Sep_night,338,0.033127985,0.523629986
Central East grid,superpeak,10,0.001871776,1
Central Southwest grid,Apr_day,390,0.03830207,0.489370819
