# File: L119.CapacityFactor_CSP_state_segment.csv
# Title: Solar CSP capacity factor adjustment by state and load segment preprocessed from ReEDS_data
# Units: NA
# Source: ReEDS data and preprocessing code
# Column types: ccn
# ----------
state,segment,capacity.factor
AK,Jun_day,0.000676915
AL,Jun_day,0.000676915
AR,Jun_day,0.000676915
AZ,Jun_day,0.792958038
CA,Jun_day,0.696255838
CO,Jun_day,0.657574958
CT,Jun_day,0.000676915
DC,Jun_day,0.000676915
DE,Jun_day,0.000676915
FL,Jun_day,0.618894079
GA,Jun_day,0.000676915
HI,Jun_day,0.618894079
IA,Jun_day,0.000676915
ID,Jun_day,0.618894079
IL,Jun_day,0.000676915
IN,Jun_day,0.000676915
KS,Jun_day,0.618894079
KY,Jun_day,0.000676915
LA,Jun_day,0.000676915
MA,Jun_day,0.000676915
MD,Jun_day,0.000676915
ME,Jun_day,0.000676915
MI,Jun_day,0.000676915
MN,Jun_day,0.000676915
MO,Jun_day,0.000676915
MS,Jun_day,0.000676915
MT,Jun_day,0.618894079
NC,Jun_day,0.000676915
ND,Jun_day,0.618894079
NE,Jun_day,0.618894079
NH,Jun_day,0.000676915
NJ,Jun_day,0.000676915
NM,Jun_day,0.754277158
NV,Jun_day,0.715596278
NY,Jun_day,0.000676915
OH,Jun_day,0.000676915
OK,Jun_day,0.618894079
OR,Jun_day,0.618894079
PA,Jun_day,0.000676915
RI,Jun_day,0.000676915
SC,Jun_day,0.000676915
SD,Jun_day,0.618894079
TN,Jun_day,0.000676915
TX,Jun_day,0.657574958
UT,Jun_day,0.676915398
VA,Jun_day,0.000676915
VT,Jun_day,0.000676915
WA,Jun_day,0.618894079
WI,Jun_day,0.000676915
WV,Jun_day,0.000676915
WY,Jun_day,0.618894079
AK,Jun_night,2.86E-05
AL,Jun_night,2.86E-05
AR,Jun_night,2.86E-05
AZ,Jun_night,0.033521645
CA,Jun_night,0.02943364
CO,Jun_night,0.027798438
CT,Jun_night,2.86E-05
DC,Jun_night,2.86E-05
DE,Jun_night,2.86E-05
FL,Jun_night,0.026163235
GA,Jun_night,2.86E-05
HI,Jun_night,0.026163235
IA,Jun_night,2.86E-05
ID,Jun_night,0.026163235
IL,Jun_night,2.86E-05
IN,Jun_night,2.86E-05
KS,Jun_night,0.026163235
KY,Jun_night,2.86E-05
LA,Jun_night,2.86E-05
MA,Jun_night,2.86E-05
MD,Jun_night,2.86E-05
ME,Jun_night,2.86E-05
MI,Jun_night,2.86E-05
MN,Jun_night,2.86E-05
MO,Jun_night,2.86E-05
MS,Jun_night,2.86E-05
MT,Jun_night,0.026163235
NC,Jun_night,2.86E-05
ND,Jun_night,0.026163235
NE,Jun_night,0.026163235
NH,Jun_night,2.86E-05
NJ,Jun_night,2.86E-05
NM,Jun_night,0.031886443
NV,Jun_night,0.030251241
NY,Jun_night,2.86E-05
OH,Jun_night,2.86E-05
OK,Jun_night,0.026163235
OR,Jun_night,0.026163235
PA,Jun_night,2.86E-05
RI,Jun_night,2.86E-05
SC,Jun_night,2.86E-05
SD,Jun_night,0.026163235
TN,Jun_night,2.86E-05
TX,Jun_night,0.027798438
UT,Jun_night,0.028616039
VA,Jun_night,2.86E-05
VT,Jun_night,2.86E-05
WA,Jun_night,0.026163235
WI,Jun_night,2.86E-05
WV,Jun_night,2.86E-05
WY,Jun_night,0.026163235
AK,Mar_day,0.000305163
AL,Mar_day,0.000305163
AR,Mar_day,0.000305163
AZ,Mar_day,0.357476937
CA,Mar_day,0.313882189
CO,Mar_day,0.29644429
CT,Mar_day,0.000305163
DC,Mar_day,0.000305163
DE,Mar_day,0.000305163
FL,Mar_day,0.27900639
GA,Mar_day,0.000305163
HI,Mar_day,0.27900639
IA,Mar_day,0.000305163
ID,Mar_day,0.27900639
IL,Mar_day,0.000305163
IN,Mar_day,0.000305163
KS,Mar_day,0.27900639
KY,Mar_day,0.000305163
LA,Mar_day,0.000305163
MA,Mar_day,0.000305163
MD,Mar_day,0.000305163
ME,Mar_day,0.000305163
MI,Mar_day,0.000305163
MN,Mar_day,0.000305163
MO,Mar_day,0.000305163
MS,Mar_day,0.000305163
MT,Mar_day,0.27900639
NC,Mar_day,0.000305163
ND,Mar_day,0.27900639
NE,Mar_day,0.27900639
NH,Mar_day,0.000305163
NJ,Mar_day,0.000305163
NM,Mar_day,0.340039038
NV,Mar_day,0.322601139
NY,Mar_day,0.000305163
OH,Mar_day,0.000305163
OK,Mar_day,0.27900639
OR,Mar_day,0.27900639
PA,Mar_day,0.000305163
RI,Mar_day,0.000305163
SC,Mar_day,0.000305163
SD,Mar_day,0.27900639
TN,Mar_day,0.000305163
TX,Mar_day,0.29644429
UT,Mar_day,0.305163239
VA,Mar_day,0.000305163
VT,Mar_day,0.000305163
WA,Mar_day,0.27900639
WI,Mar_day,0.000305163
WV,Mar_day,0.000305163
WY,Mar_day,0.27900639
AK,Mar_night,0
AL,Mar_night,0
AR,Mar_night,0
AZ,Mar_night,0
CA,Mar_night,0
CO,Mar_night,0
CT,Mar_night,0
DC,Mar_night,0
DE,Mar_night,0
FL,Mar_night,0
GA,Mar_night,0
HI,Mar_night,0
IA,Mar_night,0
ID,Mar_night,0
IL,Mar_night,0
IN,Mar_night,0
KS,Mar_night,0
KY,Mar_night,0
LA,Mar_night,0
MA,Mar_night,0
MD,Mar_night,0
ME,Mar_night,0
MI,Mar_night,0
MN,Mar_night,0
MO,Mar_night,0
MS,Mar_night,0
MT,Mar_night,0
NC,Mar_night,0
ND,Mar_night,0
NE,Mar_night,0
NH,Mar_night,0
NJ,Mar_night,0
NM,Mar_night,0
NV,Mar_night,0
NY,Mar_night,0
OH,Mar_night,0
OK,Mar_night,0
OR,Mar_night,0
PA,Mar_night,0
RI,Mar_night,0
SC,Mar_night,0
SD,Mar_night,0
TN,Mar_night,0
TX,Mar_night,0
UT,Mar_night,0
VA,Mar_night,0
VT,Mar_night,0
WA,Mar_night,0
WI,Mar_night,0
WV,Mar_night,0
WY,Mar_night,0
AK,May_day,0.000676915
AL,May_day,0.000676915
AR,May_day,0.000676915
AZ,May_day,0.792958038
CA,May_day,0.696255838
CO,May_day,0.657574958
CT,May_day,0.000676915
DC,May_day,0.000676915
DE,May_day,0.000676915
FL,May_day,0.618894079
GA,May_day,0.000676915
HI,May_day,0.618894079
IA,May_day,0.000676915
ID,May_day,0.618894079
IL,May_day,0.000676915
IN,May_day,0.000676915
KS,May_day,0.618894079
KY,May_day,0.000676915
LA,May_day,0.000676915
MA,May_day,0.000676915
MD,May_day,0.000676915
ME,May_day,0.000676915
MI,May_day,0.000676915
MN,May_day,0.000676915
MO,May_day,0.000676915
MS,May_day,0.000676915
MT,May_day,0.618894079
NC,May_day,0.000676915
ND,May_day,0.618894079
NE,May_day,0.618894079
NH,May_day,0.000676915
NJ,May_day,0.000676915
NM,May_day,0.754277158
NV,May_day,0.715596278
NY,May_day,0.000676915
OH,May_day,0.000676915
OK,May_day,0.618894079
OR,May_day,0.618894079
PA,May_day,0.000676915
RI,May_day,0.000676915
SC,May_day,0.000676915
SD,May_day,0.618894079
TN,May_day,0.000676915
TX,May_day,0.657574958
UT,May_day,0.676915398
VA,May_day,0.000676915
VT,May_day,0.000676915
WA,May_day,0.618894079
WI,May_day,0.000676915
WV,May_day,0.000676915
WY,May_day,0.618894079
AK,May_night,2.86E-05
AL,May_night,2.86E-05
AR,May_night,2.86E-05
AZ,May_night,0.033521645
CA,May_night,0.02943364
CO,May_night,0.027798438
CT,May_night,2.86E-05
DC,May_night,2.86E-05
DE,May_night,2.86E-05
FL,May_night,0.026163235
GA,May_night,2.86E-05
HI,May_night,0.026163235
IA,May_night,2.86E-05
ID,May_night,0.026163235
IL,May_night,2.86E-05
IN,May_night,2.86E-05
KS,May_night,0.026163235
KY,May_night,2.86E-05
LA,May_night,2.86E-05
MA,May_night,2.86E-05
MD,May_night,2.86E-05
ME,May_night,2.86E-05
MI,May_night,2.86E-05
MN,May_night,2.86E-05
MO,May_night,2.86E-05
MS,May_night,2.86E-05
MT,May_night,0.026163235
NC,May_night,2.86E-05
ND,May_night,0.026163235
NE,May_night,0.026163235
NH,May_night,2.86E-05
NJ,May_night,2.86E-05
NM,May_night,0.031886443
NV,May_night,0.030251241
NY,May_night,2.86E-05
OH,May_night,2.86E-05
OK,May_night,0.026163235
OR,May_night,0.026163235
PA,May_night,2.86E-05
RI,May_night,2.86E-05
SC,May_night,2.86E-05
SD,May_night,0.026163235
TN,May_night,2.86E-05
TX,May_night,0.027798438
UT,May_night,0.028616039
VA,May_night,2.86E-05
VT,May_night,2.86E-05
WA,May_night,0.026163235
WI,May_night,2.86E-05
WV,May_night,2.86E-05
WY,May_night,0.026163235
AK,Nov_day,0.000606977
AL,Nov_day,0.000606977
AR,Nov_day,0.000606977
AZ,Nov_day,0.711030639
CA,Nov_day,0.624319586
CO,Nov_day,0.589635164
CT,Nov_day,0.000606977
DC,Nov_day,0.000606977
DE,Nov_day,0.000606977
FL,Nov_day,0.554950743
GA,Nov_day,0.000606977
HI,Nov_day,0.554950743
IA,Nov_day,0.000606977
ID,Nov_day,0.554950743
IL,Nov_day,0.000606977
IN,Nov_day,0.000606977
KS,Nov_day,0.554950743
KY,Nov_day,0.000606977
LA,Nov_day,0.000606977
MA,Nov_day,0.000606977
MD,Nov_day,0.000606977
ME,Nov_day,0.000606977
MI,Nov_day,0.000606977
MN,Nov_day,0.000606977
MO,Nov_day,0.000606977
MS,Nov_day,0.000606977
MT,Nov_day,0.554950743
NC,Nov_day,0.000606977
ND,Nov_day,0.554950743
NE,Nov_day,0.554950743
NH,Nov_day,0.000606977
