# Set zero price multiplier for geothermal resource for dispatch techs
region,dispatch.sector,subsector,capacity.technology,year,minicam.energy.input,price.unit.conversion
WA,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2070,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2070,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2075,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2075,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2080,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2080,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2085,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2085,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2090,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2090,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2095,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2095,geothermal,0
AK,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
AK,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
AZ,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
AZ,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
CA,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
CA,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
CO,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
CO,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
HI,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
HI,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
ID,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
ID,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
MT,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
MT,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
NM,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
NM,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
NV,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
NV,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
OR,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
OR,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
UT,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
UT,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
WA,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
WA,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
WY,electricity,geothermal,geothermal (dry_hybrid),2100,geothermal,0
WY,electricity,geothermal,geothermal (recirculating),2100,geothermal,0
