# File: NCAR_SSP_pop_state.csv
# Title: State-level Population Projections for US States under SSP scenarios
# Units: persons
# Source: DATASET: Jiang et al. (2020). Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways (v0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3956412; PUBLICATION: Jiang et al. 2020. Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways. Environmental Research Letters. https://doi.org/10.1088/1748-9326/aba5b1
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
State,SSP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,State_FIPS
Hawaii,5,1355130,1369288,1382615,1395418,1407562,1419269,1430245,1441089,1452532,1464541,1477124,1490221,1503509,1517068,1530734,1544735,1558974,1573371,1587888,1602554,1617378,1632161,1647044,1661991,1677019,1692271,1707611,1723079,1738506,1753990,1769490,1785122,1800855,1816730,1832633,1848604,1864818,1881350,1897362,1913392,1929652,1945879,1962369,1978862,1995305,2011726,2028299,2045115,2062077,2079140,2096362,2113606,2131270,2149090,2166999,2185246,2203565,2222499,2241744,2261179,2280610,2299618,2318903,2338583,2358551,2378653,2398551,2418646,2438603,2458351,2477997,2497036,2516177,2535303,2554214,2573328,2592254,2611102,2629962,2648681,2667184,2685418,2703688,2722161,2740753,2759514,2778436,2797601,2816823,2836081,2855336,15000
Idaho,2,1568850,1593409,1617405,1641114,1664337,1687391,1709954,1731905,1753848,1775756,1797632,1819449,1841243,1862952,1884594,1906097,1927521,1948755,1969916,1990837,2011576,2032137,2052532,2072670,2092569,2112308,2131734,2150937,2169816,2188411,2206694,2224742,2242550,2260155,2277400,2294562,2311657,2328752,2345123,2361340,2377595,2393710,2409806,2425668,2441219,2456690,2472018,2487380,2502589,2517668,2532746,2547639,2562352,2577218,2591939,2606697,2621469,2636279,2650938,2665601,2680011,2693773,2707488,2721432,2735254,2749037,2762458,2775656,2788506,2801023,2813349,2824941,2836461,2847928,2859107,2870364,2881108,2891858,2902568,2913076,2923269,2933049,2942665,2952346,2962092,2971844,2981661,2991230,3000524,3009453,3017964,16000
Idaho,3,1568850,1593279,1617127,1640531,1663316,1685793,1707667,1728436,1748356,1767392,1785533,1802757,1819316,1835159,1850272,1864592,1878171,1891176,1903670,1915540,1926815,1937515,1947650,1957169,1966081,1974434,1982145,1989335,1995955,2002020,2007528,2012511,2016988,2020996,2024440,2027462,2030088,2032487,2034299,2035813,2037136,2038168,2039003,2039523,2039704,2039657,2039364,2038851,2038007,2036858,2035459,2033716,2031606,2029301,2026641,2023717,2020508,2017028,2013177,2009048,2004508,1999349,1993896,1988289,1982346,1976138,1969502,1962513,1955137,1947388,1939363,1930785,1922006,1913062,1903817,1894481,1884733,1874869,1864851,1854616,1844102,1833258,1822215,1811091,1799894,1788586,1777216,1765535,1753569,1741273,1728629,16000
Idaho,5,1568850,1593521,1617830,1642150,1666256,1690431,1714337,1738239,1763033,1788689,1815213,1842578,1870553,1899077,1928166,1957719,1987821,2018200,2048993,2079982,2111243,2142801,2174704,2206850,2239256,2272022,2304921,2337886,2370804,2403721,2436605,2469559,2502558,2535647,2568606,2601839,2635364,2669083,2701945,2734805,2767945,2801114,2834482,2867789,2900918,2934150,2967404,3000940,3034547,3068222,3102190,3136077,3170113,3204625,3239290,3274292,3309614,3345461,3381501,3417819,3454124,3489853,3525732,3562203,3598842,3635689,3672188,3708692,3744904,3780765,3816544,3851316,3886149,3920960,3955504,3990254,4024539,4058818,4093088,4127088,4160708,4193820,4226808,4260054,4293511,4327167,4361014,4395141,4429333,4463521,4497639,16000
Illinois,2,12825090,12855512,12882967,12909410,12933723,12957820,12979433,12997786,13016736,13036058,13055641,13075094,13094420,13113507,13132216,13150624,13168581,13186074,13202902,13218843,13234380,13248846,13262131,13274764,13286523,13297528,13307084,13315660,13322891,13328554,13333240,13337070,13339984,13341756,13342019,13342861,13343790,13345147,13342234,13339343,13337830,13335588,13333956,13331758,13329524,13327424,13324673,13322373,13320495,13318596,13317387,13315695,13315334,13315885,13317183,13319061,13321509,13326357,13331874,13338066,13344562,13348631,13353036,13359256,13367056,13375989,13383563,13391916,13399601,13406416,13412842,13415916,13419523,13423396,13426476,13431077,13434151,13437774,13442362,13446590,13450073,13451762,13453261,13455614,13458699,13463238,13468594,13474017,13478560,13482100,13484248,17000
Illinois,3,12825090,12854305,12881027,12905889,12927983,12949330,12967719,12980685,12989986,12995542,12997193,12994595,12988837,12979831,12967440,12951726,12932568,12911196,12887492,12861255,12832734,12801495,12767563,12731230,12692382,12651069,12606976,12560656,12511921,12460679,12407274,12351808,12294465,12235079,12173503,12110896,12046968,11982612,11915519,11847925,11780548,11712319,11644146,11575402,11506421,11437300,11367631,11297801,11227661,11157083,11086277,11014740,10943186,10871361,10799160,10726492,10653245,10580457,10507132,10433326,10358834,10282128,10204737,10127430,10050143,9972716,9893802,9814661,9734641,9653608,9571872,9487883,9403814,9319582,9234616,9150333,9064960,8979702,8894816,8809575,8723794,8636763,8549501,8462562,8375879,8289899,8204244,8118184,8031228,7943366,7854381,17000
Illinois,5,12825090,12856594,12882717,12906482,12926743,12945472,12960460,12972899,12988467,13007028,13028642,13052818,13078535,13105729,13134309,13164532,13196332,13229127,13262818,13297306,13333343,13370161,13407906,13447381,13488355,13531042,13574660,13620310,13667454,13715745,13765975,13818351,13872480,13928023,13984488,14044607,14107734,14173477,14235309,14299021,14366418,14434700,14505492,14577185,14650464,14725395,14801010,14878807,14958650,15039939,15123744,15208530,15296606,15387634,15481377,15577735,15676689,15780743,15887686,15997364,16109220,16219833,16332018,16447852,16566894,16688553,16809513,16932281,17055004,17177195,17299690,17418665,17538867,17659950,17780653,17903559,18025278,18147603,18270984,18393939,18516020,18636254,18756398,18878132,19001095,19125928,19252100,19380290,19509289,19638886,19768827,17000
Indiana,2,6486510,6534809,6581213,6626885,6671211,6715330,6758025,6798954,6840276,6881829,6923631,6965335,7007004,7048285,7089454,7130069,7170247,7209909,7248917,7287153,7324650,7361623,7397770,7433207,7467822,7501920,7535174,7567604,7599193,7629888,7659899,7689316,7718298,7746647,7774202,7801850,7829423,7857181,7882307,7907461,7932762,7957938,7983221,8007828,8032339,8056478,8079911,8103691,8127118,8150014,8173524,8196510,8219665,8243293,8267010,8290638,8314006,8338938,8363977,8389141,8414005,8437597,8460562,8484225,8508506,8533255,8556802,8580669,8603817,8626029,8647890,8667865,8687637,8707624,8726959,8746471,8765040,8783382,8801556,8818499,8834150,8849050,8863246,8878269,8893637,8909143,8924852,8940245,8954871,8968462,8980925,18000
Indiana,3,6486510,6534195,6580065,6624615,6667365,6709479,6749812,6786860,6821650,6854017,6883942,6911110,6936183,6958941,6979506,6997594,7013275,7027296,7039518,7049849,7058340,7065101,7069972,7073056,7074290,7073868,7071623,7067786,7062316,7055253,7046713,7036768,7025573,7013042,6999149,6984324,6968497,6952286,6934258,6915781,6896993,6877706,6858135,6837881,6817266,6796121,6774369,6752282,6729529,6706010,6682274,6657762,6632718,6607330,6581317,6554578,6527039,6499662,6471627,6442945,6413452,6382564,6350594,6318299,6285654,6252657,6218362,6183662,6148027,6111379,6074076,6035321,5996076,5956621,5916466,5876112,5834959,5793407,5751508,5708656,5664829,5620414,5575373,5530632,5485889,5441000,5396020,5350511,5304261,5257129,5209083,18000
Indiana,5,6486510,6535334,6582122,6628527,6673845,6719117,6763101,6806573,6852756,6901503,6952839,7006392,7061432,7117571,7175197,7233766,7293436,7353701,7414352,7475288,7536577,7598527,7660811,7723576,7786709,7850589,7914837,7979433,8044401,8109649,8175459,8241972,8309247,8377042,8445101,8514656,8585471,8657278,8726219,8795897,8866575,8937820,9010000,9082060,9154730,9227676,9300511,9374601,9449130,9523865,9600303,9676985,9754942,9834561,9915400,9997249,10079913,10165729,10252858,10341276,10430413,10518889,10607379,10697631,10789447,10882601,10974941,11068209,11161106,11253299,11345559,11435705,11526137,11617160,11707790,11799216,11889883,11980457,12071109,12160689,12249123,12336661,12423692,12511883,12600732,12690202,12780293,12871424,12962911,13054540,13146241,18000
Iowa,2,3048680,3072813,3096304,3119665,3142712,3166003,3188957,3211246,3233833,3256660,3279721,3302884,3326210,3349610,3373119,3396677,3420146,3443536,3466812,3489897,3512812,3535682,3558263,3580686,3602881,3624860,3646476,3667745,3688737,3709479,3729893,3750064,3770072,3789902,3809303,3828818,3848386,3868043,3886543,3905003,3923579,3942152,3960597,3978942,3997413,4015767,4033908,4052227,4070766,4089095,4107718,4125995,4144607,4163285,4182291,4201195,4220442,4240212,4260053,4279938,4299579,4318347,4337141,4356200,4375567,4394843,4413215,4431869,4449908,4467320,4484538,4500559,4516665,4532646,4548312,4563956,4579069,4594238,4609479,4624106,4638036,4651186,4664121,4677473,4691113,4704787,4718614,4732288,4745220,4757667,4769672,19000
Iowa,3,3048680,3072464,3095629,3118317,3140414,3162506,3184072,3204428,3223952,3242588,3260317,3277011,3292900,3307935,3322109,3335372,3347616,3359221,3370157,3380354,3389823,3398638,3406665,3413969,3420498,3426249,3431123,3435202,3438528,3441099,3442890,3443931,3444346,3444102,3443100,3441624,3439636,3437420,3434349,3431012,3427497,3423763,3419739,3415489,3411107,3406488,3401563,3396475,3391244,3385622,3379870,3373625,3367220,3360487,3353556,3346159,3338569,3330850,3322750,3314277,3305255,3295343,3285031,3274467,3263684,3252473,3240399,3228162,3215281,3201775,3187901,3173128,3158187,3142979,3127412,3111636,3095396,3079025,3062543,3045537,3027980,3009820,2991409,2973123,2954872,2936476,2918045,2899305,2879906,2860043,2839762,19000
Iowa,5,3048680,3073111,3097034,3121230,3145446,3170189,3194861,3219506,3245573,3273008,3301817,3331870,3362978,3395068,3428178,3462239,3497081,3532492,3568438,3604814,3641671,3679188,3717040,3755357,3794098,3833318,3872804,3912453,3952378,3992656,4033182,4074084,4115395,4157113,4198910,4241524,4284854,4328647,4371187,4414007,4457359,4501061,4545013,4589160,4633846,4678782,4723877,4769609,4816060,4862721,4910262,4957814,5006287,5055443,5105526,5156077,5207611,5260476,5314058,5368227,5422666,5476497,5530667,5585650,5641410,5697527,5752950,5809000,5864631,5919780,5974935,6028795,6082933,6137155,6191208,6245588,6299626,6353874,6408327,6462356,6515800,6568550,6621180,6674420,6728118,6782144,6836602,6891610,6946621,7001755,7057030,19000
Kansas,2,2849550,2878660,2906985,2935000,2962400,2989744,3016399,3042226,3068330,3094623,3121076,3147644,3174365,3201276,3228290,3255413,3282531,3309654,3336749,3363766,3390714,3417474,3444114,3470479,3496585,3522472,3547969,3573143,3597971,3622401,3646481,3670221,3693732,3716801,3739520,3762122,3784720,3807356,3828731,3850134,3871586,3892705,3913869,3934794,3955484,3976059,3996515,4016909,4037176,4057466,4077793,4098004,4118098,4138209,4158561,4178614,4199030,4219911,4240854,4261736,4282165,4301984,4321429,4341034,4360891,4380755,4399807,4418883,4437480,4455655,4473532,4490251,4506856,4523364,4539487,4555657,4571490,4586988,4602382,4617565,4632394,4646479,4660321,4674424,4688586,4702987,4717349,4731412,4744977,4757933,4770259,20000
Kansas,3,2849550,2878363,2906421,2933900,2960541,2986934,3012466,3036369,3059199,3080852,3101290,3120479,3138821,3156339,3172936,3188609,3203275,3217316,3230719,3243429,3255428,3266650,3277153,3286841,3295703,3303752,3310905,3317314,3322960,3327824,3331913,3335226,3337847,3339664,3340746,3341194,3341084,3340698,3339350,3337740,3335884,3333604,3331125,3328311,3325153,3321757,3318088,3314078,3309676,3304960,3299917,3294467,3288547,3282235,3275636,3268432,3260989,3253365,3245349,3236853,3227677,3217765,3207214,3196332,3185191,3173689,3161369,3148748,3135552,3121844,3107701,3092674,3077357,3061766,3045776,3029619,3013101,2996202,2979075,2961672,2943920,2925583,2906956,2888325,2869557,2850794,2831845,2812486,2792631,2772229,2751278,20000
Kansas,5,2849550,2878905,2907493,2936022,2964130,2992369,3020038,3047675,3076873,3107544,3139659,3173190,3207739,3243343,3279922,3317480,3355868,3394885,3434505,3474667,3515380,3556493,3598146,3640128,3682471,3725225,3768206,3811380,3854777,3898328,3942111,3986159,4030579,4075125,4119899,4165248,4211306,4257822,4302971,4348520,4394535,4440520,4486947,4533403,4579941,4626739,4673723,4721103,4768784,4816937,4865649,4914665,4964132,5014243,5065192,5116453,5168700,5222231,5276479,5331241,5386080,5440627,5495179,5550435,5606399,5662834,5718656,5774799,5830615,5886111,5941505,5995627,6049906,6104243,6158321,6212705,6266807,6320661,6374536,6428172,6481399,6533895,6586204,6638952,6691930,6745306,6798911,6852938,6907057,6961177,7015283,20000
Kentucky,2,4337910,4374805,4410315,4445188,4479032,4512547,4544953,4575957,4606990,4637955,4668840,4699548,4730002,4760291,4790336,4820226,4849884,4879264,4908317,4936988,4965306,4993321,5020917,5048140,5074882,5101192,5127101,5152461,5177431,5201706,5225636,5249208,5272461,5295356,5317792,5340414,5362988,5385854,5407013,5428079,5449585,5470789,5492507,5513955,5535411,5556782,5577589,5598832,5620104,5640891,5661985,5682807,5703813,5725142,5746467,5767728,5788784,5810780,5833051,5855393,5877371,5898504,5919169,5940626,5962604,5984632,6006042,6027526,6048514,6069064,6089418,6108302,6127362,6146304,6164929,6183830,6201862,6219624,6237232,6254244,6270718,6286322,6301523,6317339,6333276,6349359,6365568,6381497,6396772,6411137,6424745,21000
Kentucky,3,4337910,4374429,4409522,4443562,4476167,4508057,4538490,4566620,4593121,4617889,4640850,4661975,4681528,4699552,4715963,4730842,4744131,4756311,4767348,4777212,4785898,4793462,4799879,4805147,4809201,4812081,4813806,4814424,4814008,4812402,4809818,4806197,4801636,4796111,4789588,4782410,4774457,4766185,4756543,4746405,4736070,4725194,4714219,4702757,4690962,4678827,4666096,4653218,4639993,4626097,4611963,4597292,4582297,4566997,4551228,4534919,4517970,4501037,4483759,4465985,4447460,4427940,4407636,4387274,4366684,4345618,4323736,4301458,4278490,4254926,4230894,4205709,4180318,4154592,4128425,4102176,4075200,4047846,4020197,3992006,3963340,3933996,3904251,3874716,3845087,3815357,3785548,3755341,3724550,3693038,3660926,21000
Kentucky,5,4337910,4375117,4411390,4447784,4483873,4520321,4556355,4592217,4630013,4669641,4711102,4754305,4798730,4844496,4891495,4939834,4989410,5039893,5091211,5143277,5196124,5249798,5304257,5359518,5415454,5472155,5529603,5587174,5645108,5703009,5761396,5820266,5879614,5939417,5999580,6061031,6123440,6186816,6248473,6310569,6373812,6437226,6501829,6566611,6631918,6697665,6763195,6829809,6896994,6964169,7032361,7100792,7170197,7240710,7311990,7384012,7456596,7531271,7607111,7683891,7761047,7837846,7914630,7992981,8072539,8152798,8232669,8313034,8393103,8472839,8552652,8630829,8709508,8788356,8867054,8946425,9025107,9103603,9182105,9260039,9337378,9413798,9489899,9566842,9644168,9721949,9800131,9879038,9958133,10037204,10116334,21000
Louisiana,2,4529330,4553453,4576400,4598874,4620406,4641735,4662054,4681064,4700230,4719435,4738711,4757895,4776971,4795874,4814693,4833430,4852181,4870914,4889634,4908299,4926903,4945405,4963692,4981770,4999627,5017467,5034982,5052080,5068764,5085004,5100817,5116315,5131588,5146673,5161568,5176425,5191414,5206532,5220481,5234535,5248972,5263292,5277967,5292499,5307104,5321597,5335721,5350249,5364794,5379448,5394263,5408769,5423705,5438803,5454085,5469467,5484883,5501148,5517451,5533591,5549653,5565185,5580774,5596440,5612546,5628629,5644302,5659726,5674801,5689378,5703720,5716968,5730053,5743234,5755986,5768842,5781283,5793746,5806326,5818936,5830940,5842572,5853970,5865942,5878210,5890684,5903520,5916101,5928052,5939277,5949847,22000
Louisiana,3,4529330,4553077,4575726,4597573,4618181,4638310,4657184,4673788,4688802,4702093,4713689,4723449,4731793,4738679,4744145,4748250,4751045,4753029,4754235,4754637,4754231,4752988,4750857,4747850,4743945,4739277,4733664,4727197,4719860,4711578,4702430,4692458,4681748,4670345,4658211,4645422,4632048,4618355,4603694,4588754,4573698,4558251,4542708,4526843,4510798,4494474,4477731,4460877,4443701,4426215,4408446,4390132,4371632,4352774,4333555,4313896,4293769,4273612,4252974,4231736,4209963,4187413,4164395,4140925,4117256,4093149,4068390,4043111,4017294,3990873,3964026,3936303,3908260,3880045,3851368,3822548,3793317,3763930,3734435,3704804,3674658,3644159,3613373,3582783,3552226,3521638,3491111,3460218,3428772,3396725,3364153,22000
Louisiana,5,4529330,4553777,4576693,4599131,4620622,4641922,4662247,4682111,4703685,4726875,4751786,4778247,4805768,4834299,4863951,4894782,4926894,4959985,4994038,5029015,5064881,5101603,5139134,5177490,5216680,5256944,5297947,5339485,5381560,5424139,5467351,5511339,5556164,5601879,5648507,5696306,5745459,5795589,5844960,5895213,5946712,5998794,6052025,6105744,6160181,6215114,6270219,6326401,6383252,6440828,6499284,6558004,6617941,6678841,6740720,6803520,6867164,6932709,6999178,7066311,7134159,7202035,7270476,7339709,7409993,7480867,7551633,7622570,7693434,7763992,7834630,7904166,7973881,8043972,8113865,8184293,8254503,8324831,8395401,8465993,8536077,8605695,8675166,8745343,8815932,8886972,8958514,9030663,9102922,9175248,9247640,22000
Maine,2,1330070,1332798,1335174,1337428,1339476,1341483,1343331,1344947,1346683,1348511,1350428,1352374,1354315,1356239,1358116,1359923,1361658,1363284,1364745,1366075,1367318,1368466,1369465,1370348,1371084,1371764,1372355,1372843,1373211,1373487,1373678,1373825,1373990,1374005,1373865,1373830,1373957,1374276,1373893,1373472,1373402,1373327,1373437,1373517,1373667,1373801,1373954,1374206,1374516,1374916,1375275,1375710,1376330,1377112,1378053,1379194,1380311,1381764,1383436,1385318,1387314,1389122,1390903,1392926,1395223,1397685,1399967,1402497,1404832,1406946,1409067,1410805,1412514,1414248,1415829,1417526,1418968,1420364,1421690,1422853,1423727,1424366,1424902,1425650,1426592,1427655,1428905,1430156,1431339,1432384,1433204,23000
Maine,3,1330070,1332641,1334883,1336863,1338515,1340011,1341252,1342043,1342541,1342737,1342620,1342134,1341324,1340184,1338679,1336788,1334494,1331881,1328907,1325598,1321978,1318034,1313747,1309141,1304199,1298974,1293453,1287661,1281595,1275285,1268746,1262014,1255170,1248131,1240910,1233661,1226412,1219258,1211754,1204242,1196918,1189595,1182391,1175179,1168027,1160879,1153750,1146665,1139585,1132538,1125431,1118338,1111284,1104251,1097238,1090263,1083188,1076211,1069262,1062329,1055358,1048194,1040909,1033643,1026415,1019175,1011746,1004368,996805,989048,981232,973164,965026,956860,948578,940333,931922,923465,914945,906321,897520,888575,879560,870639,861816,853031,844344,835601,826787,817857,808766,23000
Maine,5,1330070,1332926,1335396,1337843,1340169,1342545,1344857,1347195,1350072,1353470,1357410,1361819,1366583,1371704,1377154,1382934,1389050,1395399,1401917,1408666,1415714,1423054,1430621,1438469,1446560,1455012,1463783,1472712,1481759,1490943,1500254,1509730,1519420,1529076,1538663,1548561,1558824,1569401,1579040,1588700,1598874,1609115,1619659,1630218,1640911,1651644,1662433,1673429,1684561,1695853,1707239,1718774,1730660,1742905,1755477,1768408,1781461,1795166,1809304,1823846,1838658,1853306,1868024,1883223,1898876,1914860,1930648,1946761,1962682,1978325,1993997,2009083,2024203,2039350,2054318,2069467,2084298,2099049,2113732,2128179,2142284,2156044,2169695,2183668,2197890,2212325,2226961,2241877,2256890,2271956,2287005,23000
Maryland,2,5770370,5815204,5858418,5900945,5942139,5982854,6022075,6059660,6097352,6134960,6172403,6209568,6246331,6282642,6318548,6354015,6388912,6423228,6456877,6490192,6522932,6554956,6586484,6617509,6647878,6677864,6707160,6735964,6763891,6791022,6817588,6843490,6868697,6893071,6916625,6939779,6962810,6985777,7006209,7026305,7046643,7066791,7086546,7106156,7125144,7143989,7162067,7180463,7198724,7216541,7234548,7252104,7269724,7287722,7305767,7324003,7342043,7361201,7380999,7400949,7420885,7439517,7458086,7477582,7497627,7518258,7537968,7557399,7576493,7594536,7612043,7627680,7643158,7658273,7672393,7686975,7700452,7713601,7726894,7739607,7751839,7762668,7773345,7784950,7796882,7809518,7822328,7835177,7847213,7858567,7869030,24000
Maryland,3,5770370,5814693,5857481,5899103,5938997,5978060,6015299,6049405,6081103,6110248,6136725,6160419,6181966,6201306,6218454,6233356,6245940,6256779,6265853,6273332,6279078,6283016,6285329,6286029,6285056,6282564,6278424,6272996,6266091,6257773,6248123,6237137,6224936,6211390,6196523,6180547,6163648,6146199,6126981,6107111,6086945,6066222,6044936,6023248,6000957,5978315,5955043,5931462,5907409,5882671,5857613,5831829,5805576,5778982,5751832,5724195,5695830,5667453,5638798,5609569,5579699,5548499,5516592,5484531,5452146,5419506,5385803,5351445,5316455,5280453,5243763,5205732,5167290,5128359,5088612,5048910,5008357,4967416,4926367,4884800,4842803,4799809,4756577,4713710,4670826,4628173,4585443,4542412,4498613,4454156,4408932,24000
Maryland,5,5770370,5815663,5859106,5902058,5943823,5985230,6025274,6065094,6107275,6151654,6198203,6246813,6296576,6347434,6399485,6452702,6506988,6561975,6617580,6674211,6731562,6789379,6848029,6907526,6967631,7028641,7090172,7152217,7214212,7276293,7338787,7401574,7464514,7527453,7590391,7654000,7718651,7783955,7846421,7909184,7972946,8037140,8101535,8166314,8230984,8296053,8360804,8426581,8492875,8559297,8626716,8694246,8762702,8832432,8903070,8974784,9047246,9122184,9198826,9276616,9355319,9433236,9511660,9591923,9673505,9756405,9838589,9920980,10003185,10084383,10165309,10244022,10322836,10401518,10479328,10557887,10635386,10712543,10789803,10866364,10942188,11016515,11090644,11165861,11241659,11318276,11395300,11473399,11551624,11630036,11708481,24000
Massachusetts,2,6545880,6581578,6615521,6648645,6680338,6711589,6741424,6769606,6798261,6827122,6856172,6885152,6914142,6942815,6971160,6998910,7026074,7052617,7078316,7103386,7127700,7151216,7173905,7196048,7217338,7238116,7258199,7277389,7295573,7312863,7329484,7345391,7360712,7375269,7388375,7401359,7414069,7426483,7436134,7445702,7455276,7464619,7473894,7482887,7491478,7499540,7507010,7514632,7522091,7529108,7536468,7543437,7550848,7558351,7566606,7574572,7582623,7592111,7602086,7612733,7623357,7633140,7643376,7654353,7666185,7678740,7690163,7701751,7712797,7722880,7732388,7739772,7746989,7753628,7759683,7765895,7770685,7775439,7779805,7783172,7785473,7786503,7787005,7789225,7792743,7796954,7801385,7805944,7810029,7813594,7816196,25000
Massachusetts,3,6545880,6580897,6614309,6646314,6676430,6705719,6733217,6757529,6779747,6799689,6817277,6832335,6845626,6856937,6866205,6873207,6877907,6880875,6881973,6881287,6878718,6874230,6867864,6859778,6849795,6838131,6824654,6809503,6792637,6774134,6754147,6732693,6709945,6685927,6660263,6633686,6606183,6578111,6548283,6518126,6487646,6456817,6425720,6394359,6362613,6330490,6297965,6265207,6232042,6198309,6164431,6129975,6095338,6060250,6025049,5989202,5952850,5916688,5880233,5843533,5806188,5767810,5729055,5690047,5650870,5611535,5571036,5530145,5488515,5445977,5402763,5358114,5313130,5267587,5221551,5175451,5128372,5081181,5033645,4985432,4936484,4886717,4836528,4787236,4738640,4690300,4641954,4593349,4544171,4494422,4443841,25000
Massachusetts,5,6545880,6582187,6616267,6649609,6681491,6712873,6742743,6772142,6804089,6838324,6874822,6913343,6953119,6993830,7035562,7077949,7121069,7164571,7208168,7252219,7296588,7341215,7386154,7431802,7477772,7524565,7571963,7619742,7667744,7716094,7765136,7814746,7864985,7915518,7965392,8016464,8068415,8120682,8169848,8219555,8270003,8320774,8372120,8423683,8475320,8526865,8578186,8630346,8682928,8735624,8789561,8843663,8899229,8955840,9014165,9073096,9133006,9195680,9259906,9325804,9392587,9459038,9526576,9595841,9666779,9739167,9810625,9882703,9954429,10025260,10095793,10163902,10232235,10300271,10367832,10435903,10502662,10569348,10635783,10701261,10765660,10828768,10891584,10956229,11022234,11089274,11156858,11225688,11294982,11364667,11434423,25000
Michigan,2,9889770,9913333,9934137,9953873,9971792,9989686,10005792,10019530,10033997,10048996,10064444,10079836,10094929,10109734,10124417,10138458,10151747,10164398,10176226,10187179,10197436,10207159,10216028,10224530,10232448,10240120,10246793,10252848,10258623,10263399,10267713,10271969,10275944,10279376,10281803,10285032,10288920,10293480,10294376,10295780,10297990,10300071,10302898,10305128,10307561,10310087,10312340,10315174,10318398,10321271,10325300,10329584,10334731,10340926,10348185,10355735,10363900,10374184,10385244,10397385,10409655,10420497,10430912,10443631,10457830,10473083,10487535,10502663,10517121,10530538,10543558,10554153,10564989,10575973,10586500,10597471,10607019,10616051,10624807,10632109,10638307,10642402,10646460,10651310,10656978,10663264,10670459,10678046,10684967,10691087,10696448,26000
Michigan,3,9889770,9912359,9932499,9950887,9966922,9982432,9995715,10004869,10011386,10015102,10015871,10013315,10008068,10000060,9989414,9975784,9959081,9940396,9919554,9896548,9871475,9844456,9815328,9784375,9751547,9717065,9680584,9642525,9603153,9562097,9519705,9476248,9431793,9386160,9339184,9291834,9244105,9196569,9146958,9097547,9048436,8999278,8950485,8901465,8852581,8803824,8755028,8706387,8657747,8608772,8560144,8511436,8462788,8414266,8365867,8317124,8268159,8219777,8171180,8122567,8073364,8022673,7971004,7919920,7868931,7817848,7765670,7713274,7659947,7605521,7550459,7493659,7436647,7379440,7321705,7263994,7205275,7146063,7086504,7025933,6964625,6901946,6839163,6776682,6714567,6652626,6591101,6529482,6467173,6404127,6340403,26000
Michigan,5,9889770,9914137,9934134,9952262,9967672,9982057,9993648,10003377,10015843,10030843,10048358,10067928,10088351,10109800,10132521,10156011,10180204,10204803,10229660,10254795,10280509,10307042,10334023,10362115,10391141,10421542,10452385,10484823,10519236,10554607,10591544,10630579,10671204,10712963,10755314,10800627,10848678,10898686,10944850,10992718,11042781,11093788,11146732,11199929,11254376,11309873,11365945,11423740,11483024,11542913,11605337,11668967,11734868,11803323,11874260,11946888,12021610,12100477,12181732,12265599,12350926,12435597,12520756,12609672,12701350,12795244,12888813,12983859,13078626,13172545,13266621,13357907,13450016,13542751,13635283,13728955,13821486,13913762,14006125,14097281,14187404,14275586,14363888,14453588,14544533,14636651,14730040,14825284,14921181,15017567,15114420,26000
Minnesota,2,5307340,5345934,5383195,5419785,5455206,5490364,5524322,5556548,5588880,5621146,5653297,5685225,5717043,5748695,5780196,5811602,5842813,5873461,5903646,5933359,5962837,5991926,6020516,6048804,6076798,6104401,6131184,6157367,6182818,6207640,6231840,6255422,6278341,6300643,6322049,6343224,6364395,6385639,6404764,6423376,6442529,6460951,6479317,6497225,6514788,6532623,6549972,6567509,6585233,6602606,6620224,6637298,6654829,6672842,6691379,6710276,6729620,6750099,6771100,6792273,6813124,6832897,6852500,6873549,6895234,6917077,6937304,6957847,6977624,6996271,7014430,7030640,7046980,7062931,7078476,7094402,7109775,7125916,7141735,7157151,7171858,7185841,7199766,7213658,7227882,7242587,7257691,7272593,7286641,7299888,7312181,27000
