# File: eia_operators_nerc_region_mapping.csv
# Title: Convert EIA Operator ID to NERC region
# Units: NA
# Column types: cc
# ----------
Operator ID,NERC Region
12465,SERC
11806,NPCC
22129,NPCC
14266,RFC
5943,NPCC
6854,NPCC
50100,NPCC
17127,NPCC
9339,TRE
18715,TRE
26618,SERC
56570,TRE
16624,TRE
13994,SERC
1307,WECC
54803,WECC
5529,MRO
9667,RFC
40307,SERC
21535,TRE
5860,SERC
19558,ASCC
7353,ASCC
11824,ASCC
13201,ASCC
12385,ASCC
10451,ASCC
221,ASCC
84,RFC
11273,WECC
19449,TRE
27470,TRE
19794,NPCC
10071,HICC
1956,WECC
56621,WECC
56369,WECC
19728,WECC
40444,WECC
9726,RFC
13137,WECC
20214,MRO
12119,ASCC
298,SPP
1615,RFC
1651,ASCC
1857,NPCC
9776,SPP
50079,FRCC
11624,NPCC
40382,SERC
17569,NPCC
18371,NPCC
19635,WECC
4180,NPCC
30150,ASCC
29297,ASCC
261,RFC
50118,SERC
13037,WECC
56598,TRE
20151,NPCC
17874,WECC
332,RFC
50168,RFC
16655,WECC
2850,WECC
13718,SERC
1276,ASCC
7833,ASCC
3990,WECC
4959,ASCC
9188,ASCC
15783,WECC
56477,SERC
12710,MRO
4065,RFC
6949,SPP
14446,SPP
40577,RFC
15776,FRCC
9234,RFC
40613,WECC
15229,SERC
10628,SPP
3477,NPCC
3329,RFC
1366,RFC
16560,SERC
14600,WECC
40437,WECC
10622,MRO
10944,WECC
6710,SERC
13788,WECC
14276,SPP
6915,ASCC
11560,SERC
16295,WECC
918,WECC
18963,ASCC
11481,SPP
11626,SERC
16198,RFC
14164,SERC
20848,MRO
26616,ASCC
19397,WECC
9897,ASCC
4562,RFC
15371,NPCC
19454,ASCC
1984,NPCC
56076,RFC
14433,MRO
17470,WECC
11204,WECC
3660,WECC
22776,WECC
56190,SERC
590,WECC
17650,SERC
40294,WECC
924,SPP
56491,SERC
55845,SERC
17690,SERC
40230,WECC
792,MRO
38084,RFC
10393,WECC
56386,RFC
40229,SERC
17697,SERC
12667,MRO
4305,MRO
5056,MRO
12159,SERC
5563,MRO
25422,RFC
15293,SERC
4775,MRO
4362,RFC
13464,RFC
10325,WECC
18204,MRO
40229,RFC
1647,SPP
13100,SERC
5084,RFC
9961,SPP
406,SERC
49893,WECC
50083,NPCC
13697,MRO
54718,MRO
17834,WECC
7969,MRO
18947,MRO
8847,MRO
17946,SERC
6028,NPCC
8973,NPCC
52,WECC
19173,WECC
9383,FRCC
9397,WECC
1194,FRCC
4458,RFC
4435,MRO
1932,WECC
17465,SERC
34691,WECC
4558,FRCC
5624,NPCC
5901,WECC
6042,WECC
3123,WECC
7049,NPCC
7860,RFC
7175,WECC
7239,RFC
15430,RFC
3028,WECC
56590,NPCC
9788,MRO
10077,WECC
14932,RFC
10277,RFC
10810,WECC
54696,WECC
54788,WECC
779,NPCC
7075,RFC
7080,NPCC
11401,RFC
50085,FRCC
11943,NPCC
12401,NPCC
5164,WECC
56217,SERC
55727,SPP
5068,WECC
11217,WECC
18832,HICC
50160,RFC
6636,NPCC
6562,NPCC
15743,WECC
7199,RFC
7726,WECC
9357,NPCC
8181,RFC
8486,SERC
8596,SERC
8693,RFC
8701,RFC
8725,NPCC
8758,NPCC
8787,WECC
9335,RFC
9093,NPCC
9370,WECC
9439,WECC
1751,WECC
9379,RFC
17164,WECC
1951,RFC
49967,RFC
563,RFC
503,RFC
54769,TRE
756,SERC
6807,WECC
900,RFC
7180,RFC
5093,WECC
54705,TRE
3030,WECC
3084,WECC
2212,SERC
3476,WECC
11724,NPCC
19068,WECC
12374,SERC
12593,NPCC
12632,TRE
11451,NPCC
55727,SERC
56479,NPCC
2719,WECC
3453,HICC
50122,SERC
6554,NPCC
9436,SERC
9686,FRCC
19685,TRE
3102,FRCC
11161,WECC
56327,SERC
55867,MRO
3452,WECC
11270,NPCC
20712,WECC
349,SERC
55754,NPCC
11278,WECC
109,MRO
12311,RFC
50133,SERC
55965,MRO
3432,TRE
54880,RFC
56147,RFC
23330,SERC
55849,RFC
56531,WECC
4980,SERC
29925,TRE
2848,WECC
3662,FRCC
3719,NPCC
2048,SPP
1947,SERC
1678,WECC
1528,RFC
4386,NPCC
2782,WECC
56497,WECC
2226,NPCC
2938,WECC
17627,WECC
327,TRE
3998,WECC
3894,SERC
13657,RFC
12834,NPCC
21970,NPCC
22290,RFC
1182,SERC
6201,WECC
6288,WECC
12436,RFC
3303,FRCC
49846,HICC
11517,NPCC
194,WECC
6659,WECC
49889,RFC
8641,RFC
56624,FRCC
2867,WECC
1959,NPCC
1981,NPCC
55919,MRO
7127,SERC
6589,SPP
7840,WECC
8032,WECC
9628,SERC
56614,SERC
54889,SERC
55739,SERC
7014,WECC
25049,WECC
56165,RFC
9454,RFC
11068,RFC
10337,WECC
3692,NPCC
11936,HICC
56600,SERC
